Implementation,File,Elapsed,Parses,SecondPerParse
sajson,testdata/apache_builds.json,1.005000,93,0.010806
rapidjson,testdata/apache_builds.json,1.007000,103,0.009777
vjson,testdata/apache_builds.json,1.001000,105,0.009533
yajl,testdata/apache_builds.json,1.009000,48,0.021021
jansson,testdata/apache_builds.json,1.017000,38,0.026763
sajson,testdata/github_events.json,1.002000,265,0.003781
rapidjson,testdata/github_events.json,1.002000,261,0.003839
vjson,testdata/github_events.json,1.000000,279,0.003584
yajl,testdata/github_events.json,1.006000,109,0.009229
jansson,testdata/github_events.json,1.006000,63,0.015968
sajson,testdata/instruments.json,1.009000,37,0.027270
rapidjson,testdata/instruments.json,1.001000,43,0.023279
vjson,testdata/instruments.json,1.001000,33,0.030333
yajl,testdata/instruments.json,1.040000,16,0.065000
jansson,testdata/instruments.json,1.087000,10,0.108700
sajson,testdata/mesh.json,1.087000,11,0.098818
rapidjson,testdata/mesh.json,1.013000,18,0.056278
vjson,testdata/mesh.json,1.268000,4,0.317000
yajl,testdata/mesh.json,1.016000,2,0.508000
jansson,testdata/mesh.json,1.461000,2,0.730500
sajson,testdata/update-center.json,1.001000,39,0.025667
rapidjson,testdata/update-center.json,1.010000,44,0.022955
vjson,testdata/update-center.json,1.001000,48,0.020854
yajl,testdata/update-center.json,1.016000,17,0.059765
jansson,testdata/update-center.json,1.100000,10,0.110000
